,arb,asm,ben,brx,bul,cat,ces,cmn,dan,deu,ell,eng,epo,eus,fin,fra,glg,guj,heb,hin,hrv,hun,ind,isl,ita,jpn,kan,kok,kor,lat,lit,mal,mon,msa,nep,nld,nob,ori,pan,pol,por,ron,rus,san,slk,slv,spa,sqi,swe,tam,tel,tha,tsn,tur,ukr,urd,vie,zsm,gla,gle,hye,kas,kat,mkd,nno,nso,zul
arb,1,0.243,0.295,0.302,0.236,0.282,0.255,0.037,0.198,0.238,0.191,0.189,0.299,0.275,0.181,0.272,0.265,0.59,0.392,0.434,0.254,0.279,0.577,0.122,0.29,0.136,0.178,0.286,0.153,0.177,0.218,0.186,0.144,0.622,0.517,0.246,0.198,0.235,0.73,0.244,0.363,0.251,0.231,0.071,0.25,0.219,0.284,0.262,0.212,0.094,0.107,0.085,0.133,1.247,0.232,1.061,0.169,0.519,0.116,0.265,0.332,0.917,0.321,0.462,0.255,0.106,0.092
asm,0.243,1,21.982,6.589,0.57,0.786,0.656,0.09,0.77,0.746,0.531,0.76,0.915,0.63,0.348,0.696,0.658,14.399,0.295,3.278,0.665,0.623,0.647,0.468,0.822,0.54,8.468,8.976,0.349,1.091,0.53,5.54,0.101,0.771,15.886,1.102,0.786,18.216,10.953,0.559,1.006,0.557,0.467,7.985,0.497,0.563,0.758,0.564,0.724,2.131,5.136,0.469,0.313,0.969,0.65,3.918,0.362,0.842,0.549,0.806,0.516,3.876,0.408,0.943,0.991,0.282,0.346
ben,0.295,21.982,1,5.477,0.694,0.901,0.771,0.048,1.112,0.967,0.598,1.025,1.076,0.791,0.453,0.849,0.697,16.35,0.203,3.237,0.788,0.775,0.678,0.618,0.99,0.677,9.195,11.165,0.403,1.032,0.65,5.102,0.18,0.816,15.457,1.143,1.034,21.782,13.007,0.653,1.147,0.689,0.642,8.209,0.678,0.703,0.829,0.687,0.974,1.938,5.249,0.524,0.352,1.05,0.602,4.259,0.412,0.873,0.575,0.806,0.467,4.74,0.47,1.055,1.23,0.384,0.326
brx,0.302,6.589,5.477,1,0.423,0.572,0.459,0.07,0.617,0.509,0.464,0.565,0.739,0.561,0.31,0.592,0.529,5.777,0.323,1.883,0.434,0.586,0.493,0.424,0.631,0.405,3.676,4.543,0.214,0.848,0.368,2.069,0.126,0.625,6.857,0.788,0.608,5.134,5.202,0.351,0.791,0.417,0.423,2.005,0.354,0.396,0.6,0.611,0.548,1.357,2.344,0.355,0.316,1.045,0.415,2.877,0.438,0.66,0.543,0.663,0.533,3.373,0.531,0.897,0.739,0.298,0.42
bul,0.236,0.57,0.694,0.423,1,2.713,5.885,0.081,3.866,2.711,1.271,2.182,2.656,2.061,1.133,2.74,2.304,0.928,0.454,0.616,10.397,1.975,1.094,1.268,3.05,0.999,0.465,0.718,0.325,1.573,3.661,0.487,0.78,1.131,0.52,2.519,3.55,0.684,0.876,4.111,3.324,3.138,8.461,0.368,7.933,8.084,2.711,2.96,3.805,0.17,0.4,0.363,0.556,1.662,6.208,0.737,0.339,0.963,0.776,1.164,0.993,0.578,1.669,10.376,4.199,0.288,0.3
cat,0.282,0.786,0.901,0.572,2.713,1,2.775,0.044,3.525,3.99,1.594,8.284,5.819,6.338,1.597,12.214,16.886,0.995,0.495,0.623,3.749,2.166,1.731,0.882,11.194,1.3,0.437,0.915,0.427,6.21,3.031,0.477,0.461,1.751,0.907,4.892,3.209,0.918,0.97,3.05,17.325,9.072,2.467,0.382,3.26,3.306,22.099,5.087,3.287,0.302,0.365,0.429,0.463,1.675,1.791,0.722,0.382,1.421,1.327,1.823,0.799,0.773,1.139,2.262,3.463,0.33,0.309
ces,0.255,0.656,0.771,0.459,5.885,2.775,1,0.055,3.102,3.733,1.171,2.439,3.255,2.284,1.341,2.749,2.335,0.96,0.437,0.636,8.205,2.869,1.122,1.028,3.113,0.915,0.446,0.694,0.363,1.902,2.973,0.517,0.51,1.085,0.77,2.826,2.766,0.676,0.846,5.171,3.315,2.777,6.17,0.408,16.481,7.662,2.639,2.286,3.078,0.257,0.301,0.365,0.378,1.737,6.344,0.749,0.481,0.977,0.957,1.445,1.01,0.558,1.392,6.534,2.833,0.256,0.275
cmn,0.037,0.09,0.048,0.07,0.081,0.044,0.055,1,0.054,0.041,0.039,0.051,0.027,0.027,0.016,0.039,0.059,0.081,0.083,0.101,0.064,0.058,0.065,0.042,0.067,2.259,0.053,0.09,1.605,0.029,0.061,0.082,0.017,0.066,0.085,0.125,0.073,0.056,0.143,0.076,0.057,0.042,0.063,0.048,0.059,0.047,0.042,0.043,0.053,0.081,0.034,0.095,0.05,0.038,0.08,0.141,1.115,0.046,0.042,0.044,0.108,0.034,0.013,0.076,0.075,0.008,0.052
dan,0.198,0.77,1.112,0.617,3.866,3.525,3.102,0.054,1,7.748,1.499,4.445,4.372,2.654,1.671,3.708,3.318,1.084,0.553,0.774,3.097,2.781,1.528,5.825,4.09,1.39,0.669,1.002,0.524,2.759,2.961,0.664,0.528,1.495,0.751,7.155,31.085,1.089,1.183,2.671,4.357,3.316,2.494,0.41,2.926,2.919,3.425,3.345,13.53,0.311,0.557,0.414,0.694,1.944,2.628,0.895,0.579,1.415,1.38,1.9,0.973,0.874,1.392,3.155,31.443,0.525,0.418
deu,0.238,0.746,0.967,0.509,2.711,3.99,3.733,0.041,7.748,1,1.395,4.72,4.934,2.934,1.793,4.162,3.265,0.971,0.546,0.692,3.137,2.986,1.382,2.523,4.186,1.249,0.474,0.905,0.479,2.728,2.944,0.556,0.456,1.346,0.801,9.196,7.119,0.987,0.894,2.841,4.616,3.473,2.961,0.359,3.057,2.963,3.578,3.208,6.418,0.256,0.401,0.42,0.5,1.857,2.43,0.708,0.465,1.226,1.247,1.825,1.113,0.717,1.365,2.851,7.449,0.377,0.369
